,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
GLOD4,9.00E-14,0.356588614,0.442,0.152,1.28E-09,1,GLOD4,0.29
HCFC1R1,9.10E-14,0.320404951,0.496,0.182,1.30E-09,1,HCFC1R1,0.314
AP2S1,9.19E-14,0.322423703,0.571,0.246,1.31E-09,1,AP2S1,0.325
TSNAX,9.23E-14,0.267226973,0.375,0.101,1.32E-09,1,TSNAX,0.274
PSMB3,9.66E-14,0.320941013,0.866,0.68,1.38E-09,1,PSMB3,0.186
STOML2,1.06E-13,0.313016388,0.496,0.192,1.51E-09,1,STOML2,0.304
CERS2,1.11E-13,0.315125941,0.482,0.175,1.59E-09,1,CERS2,0.307
ALDH3A1,1.14E-13,0.517782104,0.397,0.114,1.62E-09,1,ALDH3A1,0.283
HAX1,1.23E-13,0.363143096,0.487,0.192,1.76E-09,1,HAX1,0.295
CNOT7,1.29E-13,0.358265038,0.487,0.189,1.84E-09,1,CNOT7,0.298
RABAC1,1.31E-13,0.334893386,0.875,0.71,1.86E-09,1,RABAC1,0.165
TOMM22,1.39E-13,0.336153308,0.531,0.222,1.99E-09,1,TOMM22,0.309
MRPL10,1.40E-13,0.282086087,0.393,0.111,2.00E-09,1,MRPL10,0.282
CHID1,1.44E-13,0.342234934,0.469,0.175,2.05E-09,1,CHID1,0.294
CFAP36,1.56E-13,0.313383094,0.406,0.128,2.23E-09,1,CFAP36,0.278
UBL4A,1.56E-13,0.253737732,0.295,0.054,2.23E-09,1,UBL4A,0.241
RNASEH2C,1.57E-13,0.33324125,0.446,0.158,2.24E-09,1,RNASEH2C,0.288
OARD1,1.60E-13,0.298846256,0.424,0.138,2.29E-09,1,OARD1,0.286
SIL1,1.62E-13,0.338325805,0.455,0.168,2.32E-09,1,SIL1,0.287
LDHA,1.73E-13,0.378815713,0.964,0.902,2.47E-09,1,LDHA,0.062
MAGEH1,1.75E-13,0.256278203,0.277,0.047,2.50E-09,1,MAGEH1,0.23
HM13,1.79E-13,0.367640092,0.777,0.566,2.56E-09,1,HM13,0.211
ORMDL3,1.89E-13,0.301291067,0.433,0.145,2.69E-09,1,ORMDL3,0.288
ALG13,1.91E-13,0.31487591,0.451,0.162,2.73E-09,1,ALG13,0.289
HSPA6,1.91E-13,0.852228288,0.402,0.131,2.73E-09,1,HSPA6,0.271
RPAIN,1.91E-13,0.316235747,0.536,0.219,2.73E-09,1,RPAIN,0.317
SH3YL1,2.14E-13,0.319334341,0.808,0.559,3.06E-09,1,SH3YL1,0.249
EFEMP1,2.16E-13,0.407132278,0.688,0.438,3.08E-09,1,EFEMP1,0.25
LAMTOR1,2.20E-13,0.343188835,0.719,0.458,3.13E-09,1,LAMTOR1,0.261
RPS2,2.30E-13,0.3365192,1,0.997,3.28E-09,1,RPS2,0.003
TMEM106C,2.32E-13,0.308364971,0.353,0.091,3.31E-09,1,TMEM106C,0.262
UXS1,2.32E-13,0.321721394,0.478,0.182,3.31E-09,1,UXS1,0.296
MEA1,2.32E-13,0.290572701,0.424,0.141,3.32E-09,1,MEA1,0.283
POP5,2.42E-13,0.3213068,0.411,0.131,3.45E-09,1,POP5,0.28
MRPL4,2.63E-13,0.326428326,0.496,0.189,3.75E-09,1,MRPL4,0.307
TMEM99,2.80E-13,0.256687896,0.304,0.064,4.00E-09,1,TMEM99,0.24
ITM2A,2.89E-13,0.282086087,0.308,0.064,4.12E-09,1,ITM2A,0.244
VPS4A,2.95E-13,0.334884273,0.353,0.098,4.21E-09,1,VPS4A,0.255
ADGRV1,2.99E-13,0.282086087,0.384,0.108,4.26E-09,1,ADGRV1,0.276
R3HCC1,3.30E-13,0.300323674,0.335,0.084,4.71E-09,1,R3HCC1,0.251
HIST2H2BE,3.39E-13,0.352776031,0.281,0.054,4.84E-09,1,HIST2H2BE,0.227
RAB17,3.40E-13,0.279060366,0.348,0.091,4.85E-09,1,RAB17,0.257
NECAB1,3.69E-13,0.288221076,0.295,0.057,5.27E-09,1,NECAB1,0.238
GOLGA7,3.73E-13,0.270689952,0.397,0.118,5.32E-09,1,GOLGA7,0.279
MRPL40,3.74E-13,0.303307042,0.478,0.182,5.33E-09,1,MRPL40,0.296
RNH1,3.74E-13,0.309397021,0.875,0.744,5.34E-09,1,RNH1,0.131
NUBP2,4.00E-13,0.311777877,0.446,0.158,5.71E-09,1,NUBP2,0.288
GPR108,4.06E-13,0.31099743,0.478,0.185,5.80E-09,1,GPR108,0.293
PSMD13,4.26E-13,0.31333863,0.482,0.185,6.08E-09,1,PSMD13,0.297
ASPH,4.29E-13,0.325817752,0.857,0.66,6.11E-09,1,ASPH,0.197
SKP1,4.32E-13,0.297867582,0.982,0.889,6.16E-09,1,SKP1,0.093
METTL26,4.40E-13,0.311438299,0.692,0.394,6.28E-09,1,METTL26,0.298
PRMT7,4.71E-13,0.272725644,0.308,0.067,6.72E-09,1,PRMT7,0.241
SPR,4.75E-13,0.299838032,0.339,0.084,6.78E-09,1,SPR,0.255
THUMPD1,4.79E-13,0.295728863,0.438,0.152,6.84E-09,1,THUMPD1,0.286
GGPS1,4.90E-13,0.33719645,0.42,0.145,6.99E-09,1,GGPS1,0.275
PARP1,5.10E-13,0.292557387,0.482,0.185,7.27E-09,1,PARP1,0.297
PSMC1,5.21E-13,0.350939186,0.71,0.441,7.44E-09,1,PSMC1,0.269
PHLDA3,5.23E-13,0.301839816,0.473,0.162,7.46E-09,1,PHLDA3,0.311
EIF2S3,5.60E-13,0.350589841,0.536,0.229,7.99E-09,1,EIF2S3,0.307
HTATIP2,5.62E-13,0.26735828,0.375,0.108,8.02E-09,1,HTATIP2,0.267
RASD1,5.62E-13,0.617537394,0.777,0.609,8.03E-09,1,RASD1,0.168
C1orf210,5.97E-13,0.269663567,0.321,0.077,8.51E-09,1,C1orf210,0.244
CISH,5.97E-13,0.346443956,0.384,0.121,8.51E-09,1,CISH,0.263
ITM2C,6.03E-13,0.319423757,0.442,0.155,8.61E-09,1,ITM2C,0.287
TXN2,6.16E-13,0.294792738,0.509,0.202,8.78E-09,1,TXN2,0.307
MAGED2,6.72E-13,0.299264423,0.531,0.226,9.59E-09,1,MAGED2,0.305
NDUFS2,6.84E-13,0.357593639,0.531,0.236,9.77E-09,1,NDUFS2,0.295
SPINK5,6.85E-13,0.652663936,0.339,0.091,9.77E-09,1,SPINK5,0.248
PDIA4,6.87E-13,0.371698246,0.607,0.306,9.80E-09,1,PDIA4,0.301
FBP1,6.89E-13,0.363723437,0.67,0.387,9.82E-09,1,FBP1,0.283
ECI2,6.91E-13,0.353545051,0.464,0.178,9.86E-09,1,ECI2,0.286
ECHS1,6.97E-13,0.311703257,0.768,0.498,9.95E-09,1,ECHS1,0.27
LINC00467,7.00E-13,0.270491754,0.362,0.098,9.98E-09,1,LINC00467,0.264
SUMO2,7.67E-13,0.292448874,0.96,0.926,1.09E-08,1,SUMO2,0.034
SQSTM1,7.77E-13,0.36061936,0.942,0.872,1.11E-08,1,SQSTM1,0.07
RPN1,8.05E-13,0.350052791,0.634,0.32,1.15E-08,1,RPN1,0.314
LSM1,8.36E-13,0.308212392,0.393,0.131,1.19E-08,1,LSM1,0.262
NTHL1,8.40E-13,0.279131875,0.366,0.104,1.20E-08,1,NTHL1,0.262
MTX1,8.91E-13,0.287476936,0.464,0.172,1.27E-08,1,MTX1,0.292
KCNK1,8.97E-13,0.369314454,0.473,0.189,1.28E-08,1,KCNK1,0.284
NDUFB10,9.15E-13,0.280502555,0.857,0.714,1.31E-08,1,NDUFB10,0.143
PAIP1,9.29E-13,0.352589153,0.536,0.236,1.33E-08,1,PAIP1,0.3
LACTB2,9.39E-13,0.317657553,0.424,0.148,1.34E-08,1,LACTB2,0.276
NTPCR,9.41E-13,0.273326907,0.393,0.125,1.34E-08,1,NTPCR,0.268
