"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"THBS2",2.41840887601644e-301,0.646326950526838,0.279,0,5.40707856499755e-297,"4","THBS2",0.279
"PMP22",1.25600218098301e-299,1.63653493984813,0.778,0.141,2.80816967624182e-295,"4","PMP22",0.637
"LMOD1",9.47953233856115e-299,0.611860153595215,0.279,0.001,2.1194338402555e-294,"4","LMOD1",0.278
"OGN",1.3197104383757e-293,0.974349073412787,0.291,0.002,2.9506085981204e-289,"4","OGN",0.289
"PTGDS",4.90823891480011e-291,2.65651468066192,0.609,0.074,1.09738405657101e-286,"4","PTGDS",0.535
"C7",8.00676431178624e-290,1.94683153807989,0.466,0.032,1.79015236482917e-285,"4","C7",0.434
"CFH",5.67423774010039e-289,1.74318237546827,0.701,0.121,1.26864607393164e-284,"4","CFH",0.58
"PLXDC2",5.54527929687505e-286,1.01262734691882,0.511,0.043,1.23981354519532e-281,"4","PLXDC2",0.468
"PDLIM3",2.74370177826022e-285,1.28964539181219,0.605,0.072,6.13436843583419e-281,"4","PDLIM3",0.533
"SERPINF1",7.00604272947642e-285,1.73998253503114,0.528,0.051,1.56641103345634e-280,"4","SERPINF1",0.477
"LSAMP",2.27266728224317e-284,0.562053272678814,0.301,0.004,5.08122950963927e-280,"4","LSAMP",0.297
"FMO3",3.87808354867761e-284,0.822086052541875,0.308,0.005,8.6706191981334e-280,"4","FMO3",0.303
"SEPT11",1.4093426687375e-281,1.2544084578594,0.633,0.085,3.1510083387633e-277,"4","SEPT11",0.548
"SSC5D",5.06552231302866e-281,0.458775250192961,0.277,0.002,1.13254947874695e-276,"4","SSC5D",0.275
"FHL1",6.0460036686256e-281,1.57975137994519,0.758,0.135,1.35176550023131e-276,"4","FHL1",0.623
"FILIP1L",2.51289512898894e-280,1.46549339813055,0.695,0.11,5.61833092939347e-276,"4","FILIP1L",0.585
"LTBP4",4.64489549679565e-280,1.40809003679147,0.639,0.09,1.03850573517357e-275,"4","LTBP4",0.549
"ARHGAP10",1.61170092735854e-279,0.731786850283441,0.422,0.025,3.60344093338822e-275,"4","ARHGAP10",0.397
"IGFBP5",2.6419763491127e-275,1.75884452722452,0.438,0.029,5.90693072134617e-271,"4","IGFBP5",0.409
"ABI3BP",4.11341950016398e-274,0.941124102858945,0.507,0.044,9.19678331846662e-270,"4","ABI3BP",0.463
"MFGE8",2.29553403499958e-272,1.28058945843535,0.605,0.08,5.13235499545207e-268,"4","MFGE8",0.525
"FSTL1",3.80101653759428e-271,1.35493474376203,0.678,0.111,8.4983127747533e-267,"4","FSTL1",0.567
"MEOX2",1.47203176209764e-270,0.5244495307506,0.277,0.003,3.2911686136979e-266,"4","MEOX2",0.274
"PDZRN3",2.17672555625465e-270,0.389110550276528,0.253,0.001,4.86672299867415e-266,"4","PDZRN3",0.252
"AXL",6.35460401642287e-264,0.808926263929562,0.434,0.03,1.42076236599183e-259,"4","AXL",0.404
"PLTP",1.92963338259688e-263,1.0002684285903,0.544,0.058,4.3142743168101e-259,"4","PLTP",0.486
"FN1",2.6415805903723e-261,2.34704442887356,0.806,0.208,5.90604588395439e-257,"4","FN1",0.598
"F2R",1.90857471551698e-260,1.22393010196164,0.546,0.06,4.26719134895287e-256,"4","F2R",0.486
"CTSK",3.24923386291869e-259,0.846698281330776,0.411,0.026,7.2646370707136e-255,"4","CTSK",0.385
"FKBP10",7.59492169967427e-259,0.678784744908821,0.434,0.031,1.69807259361317e-254,"4","FKBP10",0.403
"FHL2",8.80456100369003e-259,0.871116929361639,0.44,0.033,1.96852374920502e-254,"4","FHL2",0.407
"A2M1",1.00760961786253e-258,2.40276133354017,0.864,0.23,2.25281358361705e-254,"4","A2M",0.634
"ABCA8",8.8370539156289e-255,0.761812728214603,0.342,0.014,1.97578851445631e-250,"4","ABCA8",0.328
"TSPAN81",1.21526448738004e-253,1.51570571680377,0.544,0.067,2.71708834088429e-249,"4","TSPAN8",0.477
"ECM1",2.53416881157412e-251,0.734992322623544,0.422,0.031,5.66589462891741e-247,"4","ECM1",0.391
"SYNPO2",3.43173198709204e-251,0.531349612302774,0.289,0.007,7.67266637674037e-247,"4","SYNPO2",0.282
"HGF",3.65302061436813e-251,0.474693090253538,0.267,0.004,8.16742348960427e-247,"4","HGF",0.263
"DST",8.35226532592556e-251,1.52462473126238,0.68,0.118,1.86739948157044e-246,"4","DST",0.562
"LAMA4",1.2580670648027e-248,0.776444222807541,0.444,0.035,2.81278634348588e-244,"4","LAMA4",0.409
"SMIM3",5.02430428854876e-246,0.880631772552689,0.491,0.049,1.12333395283373e-241,"4","SMIM3",0.442
"GLT8D2",2.54440226572125e-243,0.474832731854466,0.328,0.014,5.68877458569958e-239,"4","GLT8D2",0.314
